Assignments
Exploration Point,OPTIMIZATION_MODE,SEED
dse1_1,"""High Performance Effort""",2
dse1_2,"""High Performance Effort""",3
dse1_3,"""High Performance Effort""",4
dse1_4,"""Aggressive Performance""",2
dse1_5,"""Aggressive Performance""",3
dse1_6,"""Aggressive Performance""",4
dse1_7,"""High Power Effort""",2
dse1_8,"""High Power Effort""",3
dse1_9,"""High Power Effort""",4
dse1_10,"""Aggressive Power""",2
dse1_11,"""Aggressive Power""",3
dse1_12,"""Aggressive Power""",4
dse1_13,"""Aggressive Area""",2
dse1_14,"""Aggressive Area""",3
dse1_15,"""Aggressive Area""",4
