f(MAX) Summary
Exploration Point,clk,f(MAX) Geomean
dse1_1,412.88 MHz,412.880 MHz
dse1_2,429.0 MHz,429.000 MHz
dse1_3,429.0 MHz,429.000 MHz
dse1_4,429.18 MHz,429.180 MHz
dse1_5,429.18 MHz,429.180 MHz
dse1_6,429.0 MHz,429.000 MHz
dse1_7,428.82 MHz,428.820 MHz
dse1_8,423.91 MHz,423.910 MHz
dse1_9,428.82 MHz,428.820 MHz
dse1_10,428.82 MHz,428.820 MHz
dse1_11,415.11 MHz,415.110 MHz
dse1_12,429.0 MHz,429.000 MHz
dse1_13,428.82 MHz,428.820 MHz
dse1_14,441.5 MHz,441.500 MHz
dse1_15,428.82 MHz,428.820 MHz
dse1_base,429.0 MHz,429.000 MHz
