Multicorner Timing Analysis: Summary
Exploration Point,Setup,Hold,Recovery,Removal,Clock
dse1_1,-1.422,0.016,No Data,No Data,clk
dse1_1,-1.422,0.016,No Data,No Data,Worst-Case Slack
dse1_2,-1.331,0.015,No Data,No Data,clk
dse1_2,-1.331,0.015,No Data,No Data,Worst-Case Slack
dse1_3,-1.331,0.016,No Data,No Data,clk
dse1_3,-1.331,0.016,No Data,No Data,Worst-Case Slack
dse1_4,-1.330,0.015,No Data,No Data,clk
dse1_4,-1.330,0.015,No Data,No Data,Worst-Case Slack
dse1_5,-1.330,0.017,No Data,No Data,clk
dse1_5,-1.330,0.017,No Data,No Data,Worst-Case Slack
dse1_6,-1.331,0.017,No Data,No Data,clk
dse1_6,-1.331,0.017,No Data,No Data,Worst-Case Slack
dse1_7,-1.332,0.016,No Data,No Data,clk
dse1_7,-1.332,0.016,No Data,No Data,Worst-Case Slack
dse1_8,-1.359,0.015,No Data,No Data,clk
dse1_8,-1.359,0.015,No Data,No Data,Worst-Case Slack
dse1_9,-1.332,0.016,No Data,No Data,clk
dse1_9,-1.332,0.016,No Data,No Data,Worst-Case Slack
dse1_10,-1.332,0.016,No Data,No Data,clk
dse1_10,-1.332,0.016,No Data,No Data,Worst-Case Slack
dse1_11,-1.409,0.016,No Data,No Data,clk
dse1_11,-1.409,0.016,No Data,No Data,Worst-Case Slack
dse1_12,-1.331,0.017,No Data,No Data,clk
dse1_12,-1.331,0.017,No Data,No Data,Worst-Case Slack
dse1_13,-1.332,0.016,No Data,No Data,clk
dse1_13,-1.332,0.016,No Data,No Data,Worst-Case Slack
dse1_14,-1.265,0.017,No Data,No Data,clk
dse1_14,-1.265,0.017,No Data,No Data,Worst-Case Slack
dse1_15,-1.332,0.016,No Data,No Data,clk
dse1_15,-1.332,0.016,No Data,No Data,Worst-Case Slack
dse1_base,-1.331,0.016,No Data,No Data,clk
dse1_base,-1.331,0.016,No Data,No Data,Worst-Case Slack
