Runtime: Elapsed Time
Exploration Point,Total,Analysis & Synthesis,Assembler,Fitter,Timing Analyzer
dse1_1,00:06:53,00:00:35,00:01:10,00:04:32,00:00:24
dse1_2,00:06:53,00:00:34,00:01:09,00:04:35,00:00:23
dse1_3,00:06:45,00:00:34,00:01:09,00:04:27,00:00:23
dse1_4,00:06:38,00:00:35,00:01:08,00:04:19,00:00:24
dse1_5,00:07:02,00:00:37,00:01:11,00:04:38,00:00:24
dse1_6,00:06:54,00:00:36,00:01:11,00:04:31,00:00:24
dse1_7,00:06:15,00:00:34,00:01:11,00:03:55,00:00:23
dse1_8,00:06:17,00:00:34,00:01:11,00:03:56,00:00:24
dse1_9,00:06:16,00:00:35,00:01:11,00:03:54,00:00:24
dse1_10,00:07:08,00:00:35,00:01:11,00:04:46,00:00:24
dse1_11,00:07:06,00:00:35,00:01:11,00:04:44,00:00:24
dse1_12,00:07:01,00:00:34,00:01:09,00:04:42,00:00:24
dse1_13,00:05:48,00:00:33,00:01:10,00:03:29,00:00:24
dse1_14,00:05:52,00:00:34,00:01:10,00:03:32,00:00:24
dse1_15,00:05:51,00:00:34,00:01:10,00:03:31,00:00:24
dse1_base,00:05:59,00:00:34,00:01:11,00:03:38,00:00:24
