Circuit	"# Logic blocks (N=10, k=6, fracturable)"			
0	2941			 
1	2906			
2	1836			
3	2808			
4	7907			
5	3692			
6	1853			
7	3947			
8	5342			
9	1636			
10	1418			
11	1329			
12	1632			
13	4491			
14	1808			
15	1956			
16	2181			
17	1165			
18	2034			
19	2230			
20	2679			
21	5100			
22	2320			
23	5230			
24	4325			
25	4517			
26	1323			
27	1496			
28	1993			
29	3025			
30	5419			
31	4347			
32	3473			
33	4006			
34	1705			
35	1360			
36	1561			
37	14969			
38	3190			
39	1807			
40	3060			
41	1955			
42	1337			
43	1212			
44	2114			
45	2782			
46	3360			
47	1439			
48	6851			
49	11883			
50	11884			
51	4204			
52	9603			
53	10817			
54	10903			
55	10341			
56	4578			
57	7145			
58	7700			
59	11888			
60	20371			
61	15079			
62	4888			
63	4846			
64	10451			
65	12721			
66	6310			
67	2461			
68	4850			
